class,class_name,,,,,
406,"Conveyors, fluid current",,,,,
407,Cutters for shaping,,,,,
408,Cutting by use of rotating axially moving tool,,,,,
409,"Gear cutting, milling or planing",,,,,
410,Freight accommodation on freight carrier,,,,,
411,"Expanded, threaded, headed, and driven fasteners-locked ",,,,,
412,"Bookbinding, process and apparatus",,,,,
413,Sheet metal container making,,,,,
414,Material or article handling,,,,,
415,Rotary kinetic fluid motors or pumps,,,,,
416,Fluid reaction surfaces (ie impellers),,,,,
417,Pumps,,,,,
418,Rotary expansible chamber devices,,,,,
419,Powder metallurgy-processes,,,,,
420,Nonferrous alloys or metallic compositions,,,,,
422,Process disinfecting,,,,,
423,"Chemistry, inorganic",,,,,
424,"Drug, bio-affecting and body treating compositions",,,,,
425,Plastic article or earthenware shaping or treating: apparatus,,,,,
426,Food or edible material,,,,,
427,Coating processes,,,,,
428,Stock material or miscellaneous articles,,,,,
429,"Chemistry, electrical current producing apparatus",,,,,
430,Radiation imagery chemistry,,,,,
431,Combustion,,,,,
432,Heating,,,,,
433,Dentistry,,,,,
434,Education and demonstration,,,,,
435,Chemistry: molecular biology and microbiology,,,,,
436,Chemistry: analytical and immunological testing,,,,,
437,Semiconductor device manufacturing: process,,,,,
438,Semiconductor device manufacturing: process ,,,,,
439,Electrical connectors ,,,,,
440,Marine propulsion,,,,,
441,"Buoys, rafts, and aquatic devices",,,,,
442,Fabric,,,,,
445,Electric lamp ,,,,,
446,"Amusement devices, toys",,,,,
449,Bee culture,,,,,
450,Foundation garments,,,,,
452,Butchering,,,,,
453,Coin handling,,,,,
455,Telecommunications,,,,,
460,Crop threshing or separating,,,,,
462,"Books, strips and leaves for manifolding",,,,,
463,Amusement devices: games,,,,,
464,"Rotary shafts, gudgeons, housings and flexible couplings ",,,,,
474,Endless belt power transmission and components,,,,,
475,Planetary gear transmission systems and components,,,,,
493,Manufacturing container or tube from paper,,,,,
494,"Imperforate bowl, centrifugal separators",,,,,
501,Compositions: ceramic,,,,,
502,"Catalyst, solid sorbent, or support thereof, product or process",,,,,
